ndvi,rainfall_mm,temperature_c,solar_radiation,land_area_ha,crop_type,harvest_days,yield_ton_per_ha,risk_level,provinsi,tahun,data_source,ndvi_source,produksi_ton,luas_panen_ha
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.521,high,KALIMANTAN SELATAN,2020,default_fallback,seasonal_estimate,15615.78,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.303,high,KALIMANTAN TIMUR,2020,default_fallback,seasonal_estimate,9080.98,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.111,high,KALIMANTAN UTARA,2020,default_fallback,seasonal_estimate,3330.41,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,2.241,high,SULAWESI UTARA,2020,default_fallback,seasonal_estimate,22414.49,10000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.835,high,SULAWESI TENGAH,2020,default_fallback,seasonal_estimate,25041.74,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.802,high,SULAWESI SELATAN,2020,default_fallback,seasonal_estimate,24051.58,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.127,high,SULAWESI TENGGARA,2020,default_fallback,seasonal_estimate,3801.35,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.491,high,GORONTALO,2020,default_fallback,seasonal_estimate,14729.22,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.047,high,SULAWESI BARAT,2020,default_fallback,seasonal_estimate,1398.65,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.168,high,MALUKU,2020,default_fallback,seasonal_estimate,5027.25,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.151,high,MALUKU UTARA,2020,default_fallback,seasonal_estimate,4527.48,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.078,high,PAPUA BARAT,2020,default_fallback,seasonal_estimate,2350.52,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.078,high,PAPUA BARAT,2020,default_fallback,seasonal_estimate,2350.52,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.115,high,PAPUA,2020,default_fallback,seasonal_estimate,3436.42,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,46.215,low,"1,153,155.00",2020,default_fallback,seasonal_estimate,1386446.91,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,1.723,high,ACEH,2021,default_fallback,seasonal_estimate,51686.25,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,2.622,high,SUMATERA UTARA,2021,default_fallback,seasonal_estimate,78662.97,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,1.171,high,SUMATERA BARAT,2021,default_fallback,seasonal_estimate,35117.92,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.223,high,RIAU,2021,default_fallback,seasonal_estimate,6693.87,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.384,high,JAMBI,2021,default_fallback,seasonal_estimate,11526.13,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.385,high,SUMATERA SELATAN,2021,default_fallback,seasonal_estimate,11562.44,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.543,high,BENGKULU,2021,default_fallback,seasonal_estimate,16278.13,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.364,high,LAMPUNG,2021,default_fallback,seasonal_estimate,10921.29,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.132,high,KEPULAUAN BANGKA BELITUNG,2021,default_fallback,seasonal_estimate,3954.1,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.054,high,KEPULAUAN RIAU,2021,default_fallback,seasonal_estimate,1626.96,30000.0
0.54,150.0,27.0,185.0,2.0,cabe_rawit,85,4.582,medium,JAWA BARAT,2021,default_fallback,seasonal_estimate,137456.25,30000.0
0.54,150.0,27.0,185.0,2.0,cabe_rawit,85,4.482,medium,JAWA TENGAH,2021,default_fallback,seasonal_estimate,179286.91,40000.0
0.54,150.0,27.0,185.0,2.0,cabe_rawit,85,0.531,high,DAERAH ISTIMEWA YOGYAKARTA,2021,default_fallback,seasonal_estimate,15933.22,30000.0
0.54,150.0,27.0,185.0,2.0,cabe_rawit,85,9.648,low,JAWA TIMUR,2021,default_fallback,seasonal_estimate,578883.0,60000.0
0.54,150.0,27.0,185.0,2.0,cabe_rawit,85,0.133,high,BANTEN,2021,default_fallback,seasonal_estimate,3993.26,30000.0
0.54,150.0,27.0,185.0,2.0,cabe_rawit,85,0.972,high,BALI,2021,default_fallback,seasonal_estimate,29174.92,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,3.127,high,NUSA TENGGARA BARAT,2021,default_fallback,seasonal_estimate,62538.86,20000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.303,high,NUSA TENGGARA TIMUR,2021,default_fallback,seasonal_estimate,9075.94,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.791,high,KALIMANTAN BARAT,2021,default_fallback,seasonal_estimate,6331.79,8000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.232,high,KALIMANTAN TENGAH,2021,default_fallback,seasonal_estimate,6961.43,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.392,high,KALIMANTAN SELATAN,2021,default_fallback,seasonal_estimate,11757.72,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.279,high,KALIMANTAN TIMUR,2021,default_fallback,seasonal_estimate,8367.13,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.194,high,KALIMANTAN UTARA,2021,default_fallback,seasonal_estimate,5818.88,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,1.737,high,SULAWESI UTARA,2021,default_fallback,seasonal_estimate,17370.63,10000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.74,high,SULAWESI TENGAH,2021,default_fallback,seasonal_estimate,22198.53,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.881,high,SULAWESI SELATAN,2021,default_fallback,seasonal_estimate,26423.23,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.143,high,SULAWESI TENGGARA,2021,default_fallback,seasonal_estimate,4286.7,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.434,high,GORONTALO,2021,default_fallback,seasonal_estimate,13031.76,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.111,high,SULAWESI BARAT,2021,default_fallback,seasonal_estimate,3335.74,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.12,high,MALUKU,2021,default_fallback,seasonal_estimate,3596.23,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.124,high,MALUKU UTARA,2021,default_fallback,seasonal_estimate,3732.51,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.127,high,PAPUA BARAT,2021,default_fallback,seasonal_estimate,3807.59,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.127,high,PAPUA BARAT,2021,default_fallback,seasonal_estimate,3807.59,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.168,high,PAPUA,2021,default_fallback,seasonal_estimate,5054.05,30000.0
